onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	stimulus_text	stimulus_color
2.0	2.25	inc4	0.9780430793762208	1.0	0.8	blue	green
4.25	4.5	con2	0.6099729537963867	1.0	0.8	green	green
8.75	8.25	inc5	0.6901919841766357	1.0	0.8	red	blue
17.0	8.25	con1	0.5557940006256104	1.0	0.8	red	red
25.25	8.25	inc1	0.9097499847412108	1.0	0.8	green	red
33.5	2.25	con2	0.7702329158782959	1.0	0.8	green	green
35.75	2.25	inc1	0.8172039985656738	1.0	0.8	green	red
38.0	8.25	con1	0.5871119499206543	1.0	0.8	red	red
46.25	8.25	con2	0.6208970546722412	1.0	0.8	green	green
54.5	2.25	con3	0.5366740226745605	1.0	0.8	blue	blue
56.75	4.5	con1	0.6031301021575928	1.0	0.8	red	red
61.25	2.25	con1	0.5045251846313477	1.0	0.8	red	red
63.5	8.25	con3	0.6618759632110596	1.0	0.8	blue	blue
71.75	2.25	con2	0.5197880268096924	1.0	0.8	green	green
74.0	2.25	inc4	1.037198066711426	1.0	0.8	blue	green
76.25	2.25	con1	0.5693280696868896	1.0	0.8	red	red
78.5	4.5	con3	0.5675981044769287	1.0	0.8	blue	blue
83.0	4.5	con2	0.9860010147094728	1.0	0.8	green	green
87.5	8.25	inc6	0.9420759677886964	1.0	0.8	green	blue
95.75	8.25	con1	0.5205140113830566	1.0	0.8	red	red
104.0	4.5	con3	0.6304261684417725	1.0	0.8	blue	blue
108.5	4.5	con2	0.6603147983551025	1.0	0.8	green	green
113.0	8.25	inc6	0.80594801902771	1.0	0.8	green	blue
121.25	8.25	con2	0.8370637893676758	1.0	0.8	green	green
129.5	2.25	inc1	0.903573989868164	1.0	0.8	green	red
131.75	8.25	con2	0.6368708610534668	1.0	0.8	green	green
140.0	2.25	inc4	0.6364190578460693	0.0	0.8	blue	green
142.25	2.25	con3	0.7033050060272217	1.0	0.8	blue	blue
144.5	8.25	inc2	1.020385026931763	1.0	0.8	blue	red
152.75	8.25	con1	0.6713428497314453	1.0	0.8	red	red
161.0	2.25	con3	0.6844751834869385	1.0	0.8	blue	blue
163.25	8.25	con3	n/a	0.0	0.8	blue	blue
171.5	4.5	inc6	1.226379156112671	1.0	0.8	green	blue
176.0	8.25	con3	0.8062920570373535	1.0	0.8	blue	blue
184.25	8.25	inc2	1.087023019790649	1.0	0.8	blue	red
192.5	2.25	con1	0.6423690319061279	1.0	0.8	red	red
194.75	2.25	con1	0.5371701717376709	1.0	0.8	red	red
197.0	8.25	con3	0.6888589859008789	1.0	0.8	blue	blue
205.25	2.25	con2	0.537585973739624	1.0	0.8	green	green
207.5	8.25	con2	0.5510449409484863	1.0	0.8	green	green
215.75	2.25	inc3	0.8877677917480469	1.0	0.8	red	green
218.0	2.25	con2	0.9378609657287598	1.0	0.8	green	green
220.25	8.25	con3	0.533289909362793	1.0	0.8	blue	blue
228.5	2.25	con1	0.5708668231964111	1.0	0.8	red	red
230.75	8.25	con3	0.693871021270752	1.0	0.8	blue	blue
239.0	4.5	con3	0.5883052349090576	1.0	0.8	blue	blue
243.5	8.25	inc2	0.9505469799041748	1.0	0.8	blue	red
251.75	2.25	con2	0.694058895111084	1.0	0.8	green	green
254.0	4.5	inc5	0.8235049247741699	1.0	0.8	red	blue
258.5	2.25	con1	0.6076781749725342	1.0	0.8	red	red
260.75	2.25	con3	0.587385892868042	1.0	0.8	blue	blue
263.0	2.25	con3	0.5186021327972412	1.0	0.8	blue	blue
265.25	4.5	inc3	0.8029220104217529	1.0	0.8	red	green
269.75	4.5	con2	0.6361908912658691	1.0	0.8	green	green
274.25	8.25	inc1	0.9904708862304688	1.0	0.8	green 	red
282.5	4.5	inc4	0.836421012878418	1.0	0.8	blue	green
287.0	2.25	con1	0.7526469230651855	1.0	0.8	red	red
289.25	2.25	con2	0.6704220771789551	1.0	0.8	green	green
291.5	2.25	inc3	0.837867021560669	1.0	0.8	red	green
293.75	4.5	inc3	0.6964411735534668	1.0	0.8	red	green
298.25	8.25	con1	0.6202120780944824	1.0	0.8	red	red
306.5	4.5	inc5	0.7035491466522217	1.0	0.8	red	blue
311.0	8.25	con1	0.6208639144897461	1.0	0.8	red	red
319.25	8.25	con1	0.587609052658081	1.0	0.8	red	red
327.5	4.5	con2	0.6371400356292725	1.0	0.8	green	green
332.0	4.5	inc5	0.702888011932373	1.0	0.8	red	blue
336.5	4.5	con1	0.5939669609069824	1.0	0.8	red	red
341.0	4.5	con1	0.6033620834350586	1.0	0.8	red	red
345.5	4.5	con3	0.60005784034729	1.0	0.8	blue	blue
350.0	4.5	inc6	0.9837090969085692	1.0	0.8	green	blue
354.5	4.5	con3	0.6291429996490479	1.0	0.8	blue	blue
359.0	8.25	inc2	1.23767614364624	1.0	0.8	blue	red
367.25	4.5	con2	0.6349070072174072	1.0	0.8	green	green
371.75	4.5	con3	0.6368319988250732	1.0	0.8	blue	blue
376.25	4.5	con1	0.5251870155334473	1.0	0.8	red	red
380.75	4.5	con2	0.6383030414581299	1.0	0.8	green	green
385.25	4.5	con3	0.6044881343841553	1.0	0.8	blue	blue
389.75	8.25	con2	0.536613941192627	1.0	0.8	green	green
